/* DATA DESCRIPTION:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citation:,"Douville, Eric"," Bourdin, Guillaume"," Lombard, Fabien"," Gorsky, G"," Fin, Jonathan"," Metzl, Nicolas"," Pesant, Stephane"," Tara Pacific Consortium (2022): Seawater carbonate chemistry dataset collected during the Tara Pacific Expedition 2016-2018 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.944420",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abstract:,"The Tara Pacific expedition (2016-2018) sampled coral ecosystems around 32 islands in the Pacific Ocean, and sampled the surface of oceanic waters at 249 locations, resulting in the collection of nearly 58,000 samples. The expedition was designed to systematically study corals, fish, plankton, and seawater, and included the collection of samples for advanced biogeochemical, molecular, and imaging analysis. Here we provide results of carbonate chemistry for seawater samples collected during the expedition at the offshore and inshore sampling stations as well as at coral sampling sites (a few meters from studied colonies). The sampling protocol was described by Gorsky et al. (2019). Briefly, unfiltered seawater was collected once a week during the cruise and poisoned with Hg2Cl2 before to be stored on TARA board (356 samples). Like for TARA-Ocean expedition (Picheral et al, 2014) Total Alkalinity (TA) and Total Inorganic Carbon (TC) were measured at the SNAPO-CO2 facility at LOCEAN laboratory (Paris, France) and analyzed simultaneously by potentiometric titration derived from the method developed by Edmond (1970) using a closed cell. Calibrated Certified Reference Material (CRM, Dickson et al, 2007) were regularly analyzed (CRM Batches 155, 173 and 182). Analytical accuracy of the TA and TC concentrations is ±3 µmol.kg-1. Additional parameters of the carbonate system were calculated with CO2SYS.m v3.1.1 (Feb 2021: https://github.com/jonathansharp/CO2-System-Extd) using measured TA-TC data, in-situ seawater salinity and temperature measured at each seawater sampling, and local phosphate and silicate concentrations as inputs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword(s):,Carbonate chemistry, Pacific Ocean, surface seawater, Tara Pacific, total alkalinity (TA), Total Carbonate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related to:,"Edmond, John M (1970): High precision determination of titration alkalinity and total carbon dioxide content of sea water by potentiometric titration. Deep Sea Research, 17(4), 737-750, https://doi.org/10.1016/0011-7471(70)90038-0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gorsky, G"," Bourdin, Guillaume"," Lombard, Fabien"," Pedrotti, Maria Luiza"," Audrain, Samuel"," Bin, Nicolas"," Boss, Emmanuel"," Bowler, Chris"," Cassar, Nicolas"," Caudan, Loic"," Chabot, Genevieve"," Cohen, Natalie R"," Cron, Daniel"," De Vargas, Colomban"," Dolan, John"," Douville, Eric"," Elineau, A"," Flores, J Michel"," Ghiglione, Jean Francois"," Haëntjens, Nils"," Hertau, Martin"," John, Seth G"," Kelly, Rachel Lauren"," Koren, Ilan"," Lin, Y"," Marie, Dominique"," Moulin, Clémentine"," Moucherie, Yohann"," Pesant, Stephane"," Picheral, Marc"," Poulain, Julie"," Pujo-Pay, Mireille"," Reverdin, Gilles"," Romac, Sarah"," Sullivan, Matthew"," Trainic, Miri"," Tressol, Marc"," Troublé, Romain"," Vardi, Assaf"," Voolstra, Christian R"," Wincker, Patrick"," Agostini, Sylvain"," Banaigs, Bernard"," Boissin, Emilie"," Forcioli, Didier"," Furla, Paola"," Galand, Pierre E"," Gilson, Eric"," Reynaud, Stéphanie"," Sunagawa, Shinichi"," Thomas, Olivier"," Vega Thurber, Rebecca"," Zoccola, Didier", Tara Pacific Consortium," Planes, Serge"," Allemand, Denis"," Karsenti, Eric (2019): Expanding Tara Oceans Protocols for Underway, Ecosystemic Sampling of the Ocean-Atmosphere Interface During Tara Pacific Expedition (2016–2018). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00750",
TARA_20171028T2115Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100015720,TARA_EVENT_20171028T2115Z_OA157-I23-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA157-I23-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,ARA-20,analysis date/time=2018-05-30T17:06,[2] good,200,[2] good,2266.6,2267.50664,[2] good,1934.2,1934.97368,[2] good,10.4325,0.0562,0.0562,390.0951957,388.9115284,1692.634668,232.3253831,10.01362866,9.460797872,0.006894098,5.655137614,3.773762677,8.043180558,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171028T2115Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100015721,TARA_EVENT_20171028T2115Z_OA157-I23-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA157-I23-S00-C000,not-available,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,O349,analysis date/time=2018-06-14T16:44,[2] good,200,[2] good,2266,2266.9064,[2] good,1934.9,1935.67396,[2] good,10.4325,0.0562,0.0562,392.2251109,391.0349808,1694.132702,231.4729555,10.06830296,9.417750159,0.006925611,5.634388287,3.759916324,8.041199959,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN,TARA_G-200001235,TARA_EVENT_20171102T2230Z_OA000-I23-S99_D_S-SRF_ZODIAC-NISKIN,1,3,2,OA000-I23-S00-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-003,analysis date/time=2018-05-29T17:12,[2] good,200,[2] good,2283.2,2284.11328,[2] good,2049.2,2050.01968,[2] good,13.1325,0.22063826,0.22063826,642.7770913,640.8320642,1862.305709,171.2773103,16.436661,6.421767334,0.010296713,4.181015912,2.790635084,7.868664657,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN,TARA_G-200001236,TARA_EVENT_20171102T2230Z_OA000-I23-S99_D_S-SRF_ZODIAC-NISKIN,1,3,2,OA000-I23-S00-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-004,analysis date/time=2018-05-30T10:24,[2] good,200,[2] good,2279.8,2280.71192,[2] good,2067.9,2068.72716,[2] good,13.1325,0.22063826,0.22063826,721.6092217,719.4256506,1892.689613,157.5850442,18.45250291,5.813548585,0.011373964,3.846776764,2.567545885,7.825451397,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN,TARA_G-200001237,TARA_EVENT_20171102T2230Z_OA000-I23-S99_D_S-SRF_ZODIAC-NISKIN,1,3,2,OA000-I23-S00-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-007,analysis date/time=2018-05-29T16:53,[2] good,200,[2] good,2288.2,2289.11528,[2] good,2077,2077.8308,[2] good,13.1325,0.22063826,0.22063826,729.2293345,727.0227051,1901.748754,157.434687,18.64735928,5.780334776,0.011439319,3.843106425,2.565096103,7.822963083,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN,TARA_G-200001238,TARA_EVENT_20171102T2230Z_OA000-I23-S99_D_S-SRF_ZODIAC-NISKIN,1,3,2,OA000-I23-S00-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-012,analysis date/time=2018-05-29T17:30,[2] good,200,[2] good,2251.9,2252.80076,[2] good,1991.8,1992.59672,[2] good,13.1325,0.22063826,0.22063826,547.0055418,545.350317,1792.209782,186.3992822,13.98765572,7.262081178,0.009105254,4.550155323,3.037018598,7.92207119,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171102T2230Z_D_S-SRF_ZODIAC-NISKIN,TARA_G-200001239,TARA_EVENT_20171102T2230Z_OA000-I23-S99_D_S-SRF_ZODIAC-NISKIN,1,3,2,OA000-I23-S00-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-009,analysis date/time=2018-05-29T17:49,[2] good,200,[2] good,2251.6,2252.50064,[2] good,2115.2,2116.04608,[2] good,13.1325,0.22063826,0.22063826,1102.19598,1098.860763,1975.468379,112.3930914,28.18461007,3.972603689,0.016644775,2.743605109,1.831229739,7.660085332,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171103T2243Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015381,TARA_EVENT_20171103T2243Z_OA000-I23-S01_D_C-CSW-C001_SCUBA-PUMP,7.6,7.6,7.6,OA000-I23-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,M-32,analysis date/time=2018-06-14T16:06,[2] good,200,[2] good,2259.5,2260.4038,[2] good,1941.6,1942.37664,[2] good,17.7325,0.0583,0.0583,401.7378453,400.5077876,1709.23952,222.6372851,10.49983534,8.647942565,0.007103166,5.407810094,3.599603941,8.032653957,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171104T0346Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015382,TARA_EVENT_20171104T0346Z_OA000-I23-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I23-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-281,analysis date/time=2018-06-14T16:25,[2] good,200,[2] good,2257.8,2258.70312,[2] good,1940.7,1941.47628,[2] good,13.1325,0.0718,0.0718,403.84198,402.6065969,1708.853535,222.0865821,10.53616273,8.661137167,0.007131826,5.398755825,3.594266948,8.030646933,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171105T2308Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015395,TARA_EVENT_20171105T2308Z_OA000-I23-S02_D_C-CSW-C001_SCUBA-PUMP,5.3,5.3,5.3,OA000-I23-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-017,analysis date/time=2018-05-30T11:21,[2] good,200,[2] good,2253.8,2254.70152,[2] good,1927,1927.7708,[2] good,15.4325,0.0753,0.0753,396.8453806,395.6433637,1689.234401,228.3794687,10.15693007,9.392787316,0.007017796,5.562247524,3.713102193,8.035163756,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171106T0343Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015398,TARA_EVENT_20171106T0343Z_OA000-I23-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I23-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,TOU-22,analysis date/time=2018-05-30T11:02,[2] good,200,[2] good,2263.1,2264.00524,[2] good,1928.1,1928.87124,[2] good,13.1325,0.0553,0.0553,384.310273,383.1455303,1684.988575,234.0336974,9.848967128,9.626905634,0.006815857,5.702537953,3.805800968,8.048022582,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171106T0449Z_D_C-COL_SCUBA-CORER,TARA_G100015665,TARA_EVENT_20171106T0449Z_OA000-I23-S02_D_C-COL_SCUBA-CORER,12.9,12.9,12.9,OA000-I23-S02-C902,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,TOU-19,analysis date/time=2018-05-30T11:40,[2] good,200,[2] good,2257.7,2258.60308,[2] good,1939.8,1940.57592,[2] good,23.0325,0.0553,0.0553,420.2123235,418.9433649,1707.018414,222.8694365,10.68806957,9.182327454,0.007336093,5.42204709,3.623434818,8.015061293,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171109T0351Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015389,TARA_EVENT_20171109T0351Z_OA000-I23-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I23-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-357,analysis date/time=2018-05-30T11:58,[2] good,200,[2] good,2240.1,2240.99604,[2] good,1903.6,1904.36144,[2] good,13.1325,0.0823,0.0823,378.0671661,376.9248849,1660.780209,233.9539078,9.627323275,9.886948667,0.006780846,5.700188752,3.808097082,8.049353445,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171109T2310Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015386,TARA_EVENT_20171109T2310Z_OA000-I23-S03_D_C-CSW-C001_SCUBA-PUMP,9.4,9.4,9.4,OA000-I23-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-44,analysis date/time=2018-05-30T10:44,[2] good,200,[2] good,2255.5,2256.4022,[2] good,1940,1940.776,[2] good,19.5325,0.1578,0.1578,423.2931492,422.0143255,1708.779502,221.2188975,10.77760035,9.089744666,0.00738296,5.385704103,3.598301349,8.012436418,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171110T2216Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100015426,TARA_EVENT_20171110T2216Z_OA159-I23-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA159-I23-S00-C000,sampling at OA159-I00-S00 is contextual to (<200 nm from) both OA000-I23 and OA000-I24,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R01,TR1,B-015,analysis date/time=2018-05-29T16:14,[2] good,200,[2] good,2269.8,2270.70792,[2] good,1931.9,1932.67276,[2] good,10.4325,0.0327,0.0327,387.859443,386.6904335,1686.400719,236.4344451,9.83759626,9.947349299,0.006830915,5.773274614,3.858312011,8.045704872,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171110T2216Z_D_I-SRF_DOLPHIN-CARBOY,TARA_G100015427,TARA_EVENT_20171110T2216Z_OA159-I23-S00_D_I-SRF_DOLPHIN-CARBOY,0,0.3,0.15,OA159-I23-S00-C000,sampling at OA159-I00-S00 is contextual to (<200 nm from) both OA000-I23 and OA000-I24,[I-SRFa] sea surface layer (ENVO:01001581) at the ocean-atmosphere interface (ENVO:01001309) near an oceanic island environment (ENVO:00000222),BGC-CARB,R02,TR1,B-011,analysis date/time=2018-05-29T15:54,[2] good,200,[2] good,2269.4,2270.30776,[2] good,1937.8,1938.57512,[2] good,10.4325,0.0327,0.0327,399.1206789,397.917728,1696.051274,232.4006214,10.1232242,9.722002022,0.00698925,5.674776394,3.792485095,8.035753211,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171112T2259Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015414,TARA_EVENT_20171112T2259Z_OA000-I24-S01_D_C-CSW-C001_SCUBA-PUMP,1.3,1.3,1.3,OA000-I24-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-356,analysis date/time=2018-05-29T14:38,[2] good,200,[2] good,2227.6,2228.49104,[2] good,1910.4,1911.16416,[2] good,11.4325,0.0838,0.0838,424.2756528,423.0098851,1678.846172,221.7638239,10.55416442,9.778250544,0.007425635,5.427343786,3.637529721,8.006800222,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171113T0435Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015402,TARA_EVENT_20171113T0435Z_OA000-I24-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I24-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-016,analysis date/time=2018-05-29T16:34,[2] good,200,[2] good,2247.1,2247.99884,[2] good,1900.5,1901.2602,[2] good,13.1325,0.0453,0.0453,376.9687012,375.8440673,1650.619787,241.2630429,9.37736971,10.82005063,0.006711661,5.903264612,3.956577307,8.050715512,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171117T0434Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015406,TARA_EVENT_20171117T0434Z_OA000-I24-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I24-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-039,analysis date/time=2018-05-31T16:16,[2] good,200,[3] questionable,2200.3,2201.18012,[3] questionable,1864.8,1865.54592,[3] questionable,13.1325,0.0758,0.0758,382.5239729,381.3866664,1623.726245,232.3612659,9.458408736,10.74853124,0.006897926,5.69469771,3.81981236,8.038046089,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171117T2250Z_D_C-COL_SCUBA-CORER,TARA_G100015682,TARA_EVENT_20171117T2250Z_OA000-I24-S02_D_C-COL_SCUBA-CORER,17,17,17,OA000-I24-S02-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,AT-052,analysis date/time=2018-05-29T15:16,[2] good,200,[2] good,2244.5,2245.3978,[2] good,1913.6,1914.36544,[2] good,27.1325,0.0758,0.0758,407.7530038,406.5409953,1672.906678,231.3797927,10.07896939,10.40165578,0.00714488,5.66245402,3.798800842,8.022843059,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171117T2317Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015417,TARA_EVENT_20171117T2317Z_OA000-I24-S02_D_C-CSW-C001_SCUBA-PUMP,4.2,4.2,4.2,OA000-I24-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,B-001,analysis date/time=2018-05-30T17:24,[2] good,200,[2] good,2230,2230.892,[2] good,1910,1910.764,[2] good,14.3325,0.0688,0.0688,423.2585031,422.0004058,1676.406851,223.89491,10.46223929,10.04343926,0.007391443,5.488274184,3.68142586,8.008020282,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171118T0144Z_D_C-COL_SCUBA-CORER,TARA_G100015686,TARA_EVENT_20171118T0144Z_OA000-I24-S02_D_C-COL_SCUBA-CORER,8,8,8,OA000-I24-S02-C902,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-354,analysis date/time=2018-05-29T14:57,[2] good,200,[2] good,2241.4,2242.29656,[2] good,1908.3,1909.06332,[2] good,18.1325,0.0758,0.0758,402.4504069,401.2541599,1666.45075,232.6646721,9.947898099,10.49940906,0.007072795,5.700468544,3.823922603,8.027184742,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171119T0423Z_D_S-SRF_ZODIAC-PUMP,TARA_G100015410,TARA_EVENT_20171119T0423Z_OA000-I24-S03_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I24-S03-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-037,analysis date/time=2018-05-31T12:35,[2] good,200,[2] good,2214.9,2215.78596,[2] good,1876.9,1877.65076,[2] good,13.1325,0.0147,0.0147,377.8828101,376.7619891,1632.457152,235.8545017,9.339105798,10.99952489,0.006757619,5.826880739,3.904101436,8.047499112,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171120T0003Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100015393,TARA_EVENT_20171120T0003Z_OA000-I24-S03_D_C-CSW-C001_SCUBA-PUMP,3.5,3.5,3.5,OA000-I24-S03-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,M-35,analysis date/time=2018-05-29T15:35,[2] good,200,[2] good,2228.6,2229.49144,[2] good,1887.9,1888.65516,[2] good,13.6325,0.0248,0.0248,372.3479645,371.2391669,1641.172538,238.2066356,9.275986321,10.87643075,0.006651263,5.883937717,3.9370115,8.055576528,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171120T0513Z_D_C-COL_SCUBA-CORER,TARA_CO-1001119,TARA_EVENT_20171120T0513Z_OA000-I24-S03_D_C-COL_SCUBA-CORER,6,6,6,OA000-I24-S03-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-042,analysis date/time=2018-05-31T16:37,[2] good,200,[2] good,2197.2,2198.07888,[2] good,1874.6,1875.34984,[2] good,16.1325,0.0147,0.0147,404.6812392,403.4797967,1640.900488,224.4598852,9.989467068,10.34587656,0.007211535,5.511535372,3.696953215,8.018671443,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171222T0022Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100014273,TARA_EVENT_20171222T0022Z_OA000-I25-S01_D_C-CSW-C001_SCUBA-PUMP,2,2,2,OA000-I25-S01-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-365 / M-33,analysis date/time=2018-05-31T15:34,[2] good,200,[2] good,2214.4,2215.28576,[2] good,1903.3,1904.06132,[2] good,12.1325,0.0603,0.0603,413.4414104,412.1960643,1675.911306,217.6536294,10.49638506,9.256962258,0.007322209,5.334544175,3.562634037,8.015975885,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171222T0518Z_D_C-COL_SCUBA-CORER,TARA_CO-1001755,TARA_EVENT_20171222T0518Z_OA000-I25-S01_D_C-COL_SCUBA-CORER,3,3,3,OA000-I25-S01-C901,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-043,analysis date/time=2018-05-31T11:06,[2] good,200,[2] good,2203.7,2204.58148,[2] good,1869.5,1870.2478,[2] good,13.1325,0.0808,0.0808,366.4954873,365.3910618,1629.170163,231.7661444,9.31149305,10.1204992,0.006680872,5.678107487,3.791820227,8.05587796,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171222T0521Z_D_S-SRF_ZODIAC-PUMP,TARA_G100014276,TARA_EVENT_20171222T0521Z_OA000-I25-S01_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I25-S01-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,M-33 / SN-365,analysis date/time=2018-05-31T11:30,[2] good,200,[2] good,2203.4,2204.28136,[2] good,1859.4,1860.14376,[2] good,13.1325,0.0808,0.0808,350.0205256,348.9657469,1613.28509,237.9657533,8.892916294,10.49353285,0.006443374,5.829993542,3.893249201,8.071597751,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171223T2350Z_D_C-COL_SCUBA-CORER,TARA_CO-1001762,TARA_EVENT_20171223T2350Z_OA000-I25-S01_D_C-COL_SCUBA-CORER,9,9,9,OA000-I25-S01-C902,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-361,analysis date/time=2018-05-31T12:10,[2] good,200,[2] good,2202.5,2203.381,[2] good,1910.9,1911.66436,[2] good,19.1325,0.0808,0.0808,440.7885098,439.4524852,1695.695598,204.6439762,11.32478552,8.381189531,0.007772109,5.003115598,3.33597008,7.991695834,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171225T2309Z_D_C-CSW-C001_SCUBA-PUMP,TARA_G100014266,TARA_EVENT_20171225T2309Z_OA000-I25-S02_D_C-CSW-C001_SCUBA-PUMP,6,6,6,OA000-I25-S02-C001,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,M-34,analysis date/time=2018-05-31T11:50,[2] good,200,[2] good,2241.3,2242.19652,[2] good,1923.4,1924.16936,[2] good,16.1325,0.0683,0.0683,407.3909681,406.1591399,1691.039328,222.7198618,10.41017006,9.231883372,0.007183052,5.44270346,3.63252093,8.025082307,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171226T0420Z_D_S-SRF_ZODIAC-PUMP,TARA_G100014269,TARA_EVENT_20171226T0420Z_OA000-I25-S02_D_S-SRF_ZODIAC-PUMP,1,3,2,OA000-I25-S02-C000,not-available,[S-SRF] marine surface layer (ENVO:01001581) below the ocean-atmosphere interface (ENVO:01001309) near a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-036,analysis date/time=2018-05-31T15:15,[2] good,200,[2] good,2239.9,2240.79596,[2] good,1916.1,1916.86644,[2] good,13.1325,0.0993,0.0993,395.7413145,394.5446198,1680.374384,226.3784176,10.11363867,9.439607597,0.007020358,5.53387523,3.693219849,8.03502238,,,,,,,,,,,,,,,,,,,,,,,
TARA_20171226T2240Z_D_C-CSW-C010_SCUBA-PUMP,TARA_G100014259,TARA_EVENT_20171226T2240Z_OA000-I25-S03_D_C-CSW-C010_SCUBA-PUMP,11.6,11.6,11.6,OA000-I25-S03-C010,not-available,[C-CSW] seawater (ENVO:00002149) surrounding a coral colony (CSW = colony-surrounding-water) part of a coral reef environment (ENVO:00000150),BGC-CARB,no-replicate,TR1,SN-040,analysis date/time=2018-05-31T14:46,[2] good,200,[2] good,2229.2,2230.09168,[2] good,1928.6,1929.37144,[2] good,21.7325,0.0703,0.0703,419.8201326,418.5357328,1707.317737,211.0713805,10.98232238,8.25567058,0.00742659,5.146792076,3.423411199,8.013782518,,,,,,,,,,,,,,,,,,,,,,,
